row,subj_id,list_id,item_id,A,B,Y
1,one,4,1,A2,B2,233.5056252
2,one,4,2,A2,B2,294.6706043
3,one,4,3,A2,B2,284.6235151
4,one,4,4,A2,B2,257.9814522
5,one,4,5,A2,B2,267.9257137
6,one,4,6,A2,B2,282.1853444
7,one,4,7,A2,B2,280.5668637
8,one,4,8,A2,B2,291.0552074
9,one,4,9,A2,B2,292.4811418
10,one,4,10,A2,B2,243.3556566
11,one,4,11,A1,B1,260.9661396
12,one,4,12,A1,B1,270.67705
13,one,4,13,A1,B1,243.3545832
14,one,4,14,A1,B1,303.7539321
15,one,4,15,A1,B1,263.4989525
16,one,4,16,A1,B1,256.4163078
17,one,4,17,A1,B1,
18,one,4,18,A1,B1,263.4450419
19,one,4,19,A1,B1,268.6069566
20,one,4,20,A1,B1,256.4219065
21,one,4,21,A1,B2,267.7705196
22,one,4,22,A1,B2,234.7441564
23,one,4,23,A1,B2,260.5918247
24,one,4,24,A1,B2,
25,one,4,25,A1,B2,309.2325031
26,one,4,26,A1,B2,276.9304238
27,one,4,27,A1,B2,305.6363279
28,one,4,28,A1,B2,277.451891
29,one,4,29,A1,B2,315.0893793
30,one,4,30,A1,B2,247.0450523
31,one,4,31,A2,B1,260.4031633
32,one,4,32,A2,B1,
33,one,4,33,A2,B1,
34,one,4,34,A2,B1,237.8184573
35,one,4,35,A2,B1,250.8316074
36,one,4,36,A2,B1,259.6996592
37,one,4,37,A2,B1,224.1617814
38,one,4,38,A2,B1,278.3058207
39,one,4,39,A2,B1,227.282903
40,one,4,40,A2,B1,264.6240519
41,2,1,1,A1,B1,223.6921667
42,2,1,2,A1,B1,240.4373515
43,2,1,3,A1,B1,250.8050361
44,2,1,4,A1,B1,251.3000898
45,2,1,5,A1,B1,228.7779917
46,2,1,6,A1,B1,215.9792778
47,2,1,7,A1,B1,199.1269142
48,2,1,8,A1,B1,262.1870244
49,2,1,9,A1,B1,220.249426
50,2,1,10,A1,B1,228.9012257
51,2,1,11,A1,B2,284.2279162
52,2,1,12,A1,B2,255.3271096
53,2,1,13,A1,B2,255.9850085
54,2,1,14,A1,B2,315.8959654
55,2,1,15,A1,B2,270.3953607
56,2,1,16,A1,B2,290.7379685
57,2,1,17,A1,B2,254.2325213
58,2,1,18,A1,B2,302.865317
59,2,1,19,A1,B2,248.2004474
60,2,1,20,A1,B2,305.7447777
61,2,1,21,A2,B1,254.5347762
62,2,1,22,A2,B1,247.9159478
