row,subj_id,list_id,item_id,A,B,Y
1041,27,4,1,A2,B2,309.6462939
1042,27,4,2,A2,B2,291.7798098
1043,27,4,3,A2,B2,301.5651054
1044,27,4,4,A2,B2,287.3098196
1045,27,4,5,A2,B2,294.5027689
1046,27,4,6,A2,B2,302.5771465
1047,27,4,7,A2,B2,307.9551223
1048,27,4,8,A2,B2,297.9387085
1049,27,4,9,A2,B2,292.9917529
1050,27,4,10,A2,B2,275.6534006
1051,27,4,11,A1,B1,275.9278892
1052,27,4,12,A1,B1,280.259971
1053,27,4,13,A1,B1,252.9594669
1054,27,4,14,A1,B1,289.2257004
1055,27,4,15,A1,B1,258.2475684
1056,27,4,16,A1,B1,299.6128626
1057,27,4,17,A1,B1,254.5552298
1058,27,4,18,A1,B1,218.5767624
1059,27,4,19,A1,B1,223.8621621
1060,27,4,20,A1,B1,269.0799543
1061,27,4,21,A1,B2,278.1399791
1062,27,4,22,A1,B2,271.5381009
1063,27,4,23,A1,B2,318.9543531
1064,27,4,24,A1,B2,364.4086499
1065,27,4,25,A1,B2,329.5255853
1066,27,4,26,A1,B2,258.5972361
1067,27,4,27,A1,B2,287.5144897
1068,27,4,28,A1,B2,291.3620376
1069,27,4,29,A1,B2,297.0851025
1070,27,4,30,A1,B2,301.6043501
1071,27,4,31,A2,B1,284.0866095
1072,27,4,32,A2,B1,264.2035739
1073,27,4,33,A2,B1,273.8225744
1074,27,4,34,A2,B1,264.6120579
1075,27,4,35,A2,B1,253.1758297
1076,27,4,36,A2,B1,272.6131401
1077,27,4,37,A2,B1,268.1283682
1078,27,4,38,A2,B1,283.533439
1079,27,4,39,A2,B1,266.5773013
1080,27,4,40,A2,B1,305.802682
1081,twenty-eight,4,1,A2,B2,236.1112177
1082,twenty-eight,4,2,A2,B2,284.9092298
1083,twenty-eight,4,3,A2,B2,283.2921106
1084,twenty-eight,4,4,A2,B2,258.6534865
1085,twenty-eight,4,5,A2,B2,269.2898758
1086,twenty-eight,4,6,A2,B2,305.2361326
1087,twenty-eight,4,7,A2,B2,273.2703809
1088,twenty-eight,4,8,A2,B2,293.0465254
1089,twenty-eight,4,9,A2,B2,287.5916901
1090,twenty-eight,4,10,A2,B2,244.4081503
1091,twenty-eight,4,11,A1,B1,203.5405352
1092,twenty-eight,4,12,A1,B1,227.9077845
1093,twenty-eight,4,13,A1,B1,220.5020591
1094,twenty-eight,4,14,A1,B1,267.802749
1095,twenty-eight,4,15,A1,B1,250.1517274
1096,twenty-eight,4,16,A1,B1,252.340082
1097,twenty-eight,4,17,A1,B1,220.7736388
1098,twenty-eight,4,18,A1,B1,218.2323275
1099,twenty-eight,4,19,A1,B1,234.9259552
1100,twenty-eight,4,20,A1,B1,245.1503014
1101,twenty-eight,4,21,A1,B2,164.2434947
1102,twenty-eight,4,22,A1,B2,205.6653809
1103,twenty-eight,4,23,A1,B2,228.6028874
1104,twenty-eight,4,24,A1,B2,282.8261104
1105,twenty-eight,4,25,A1,B2,252.6116647
1106,twenty-eight,4,26,A1,B2,222.6486434
1107,twenty-eight,4,27,A1,B2,198.9142532
